frame,intensity,tension,chaos,state,dominant_team,dominance_label,nearest_robot_distance
0,100.0,76.18,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,431.2
1,0.0,76.42,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,427.7
2,10.51,76.61,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,421.82
3,13.51,76.9,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,416.69
4,15.8,77.4,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,410.35
5,18.17,77.95,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,407.71
6,24.36,78.49,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,400.99
7,24.68,78.99,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,392.31
8,100.0,97.77,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,224.91
9,31.77,80.34,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,378.25
10,32.18,81.16,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,367.15
11,35.31,82.08,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,356.44
12,38.55,82.89,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,343.58
13,89.07,79.01,100.0,CAOS,unknown,DOMINIO DESCONOCIDO,49.08
14,39.8,84.92,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,265.06
15,37.58,80.33,100.0,CAOS,unknown,DOMINIO DESCONOCIDO,49.89
16,100.0,94.45,33.33,TENSION,unknown,DOMINIO DESCONOCIDO,90.52
17,100.0,82.12,50.0,TENSION,unknown,DOMINIO DESCONOCIDO,3.65
18,100.0,84.51,33.33,TENSION,unknown,DOMINIO DESCONOCIDO,6.42
19,12.3,59.21,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,524.45
20,82.84,59.15,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,523.07
21,9.13,59.03,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,523.25
22,100.0,59.2,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,522.35
23,4.31,59.17,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,524.52
24,6.18,59.22,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,525.47
25,100.0,59.13,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,529.47
26,100.0,59.06,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,530.52
27,14.97,59.09,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,533.14
28,33.76,59.13,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,533.55
29,91.09,59.22,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,537.67
30,70.25,59.42,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,537.73
31,100.0,59.28,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,540.26
32,64.09,59.37,0.0,ACTIVO,unknown,DOMINIO DESCONOCIDO,541.08
33,74.18,59.23,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,544.12
34,81.7,59.23,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,545.06
35,67.29,59.31,0.0,ACTIVO,unknown,DOMINIO DESCONOCIDO,544.63
36,92.64,59.36,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,544.46
37,100.0,59.14,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,544.08
38,69.7,59.34,0.0,ACTIVO,unknown,DOMINIO DESCONOCIDO,539.11
39,100.0,59.13,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,531.25
40,83.41,59.21,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,533.53
41,90.62,59.54,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,524.42
42,100.0,59.7,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,519.41
43,100.0,59.67,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,510.69
44,15.08,59.59,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,512.97
45,100.0,60.03,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,506.67
46,12.56,59.59,25.0,CALMA,red,DOMINIO RED,13.38
47,15.4,59.57,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,492.57
48,13.87,59.62,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,487.07
49,11.88,59.65,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,479.81
