frame,event,description
0,posible_tiro,Balón rápido (669.2px/frame) con tensión 76.2%
0,momento_critico,Estado táctico: TENSION
1,momento_critico,Estado táctico: TENSION
2,momento_critico,Estado táctico: TENSION
3,momento_critico,Estado táctico: TENSION
4,momento_critico,Estado táctico: TENSION
5,momento_critico,Estado táctico: TENSION
6,momento_critico,Estado táctico: TENSION
7,momento_critico,Estado táctico: TENSION
8,posible_tiro,Balón rápido (97.4px/frame) con tensión 97.8%
8,momento_critico,Estado táctico: TENSION
9,momento_critico,Estado táctico: TENSION
10,momento_critico,Estado táctico: TENSION
11,momento_critico,Estado táctico: TENSION
12,momento_critico,Estado táctico: TENSION
13,posible_tiro,Balón rápido (44.0px/frame) con tensión 79.0%
13,momento_critico,Estado táctico: CAOS
14,momento_critico,Estado táctico: TENSION
15,momento_critico,Estado táctico: CAOS
16,posible_tiro,Balón rápido (157.6px/frame) con tensión 94.5%
16,momento_critico,Estado táctico: TENSION
17,posible_tiro,Balón rápido (296.4px/frame) con tensión 82.1%
17,momento_critico,Estado táctico: TENSION
18,posible_tiro,Balón rápido (49.3px/frame) con tensión 84.5%
18,momento_critico,Estado táctico: TENSION
25,posible_colision,Robots -1 y -1 cerca (35.3px)
25,posible_colision,Robots -1 y 3 cerca (42.0px)
26,posible_colision,Robots -1 y -1 cerca (10.3px)
29,posible_colision,Robots -1 y -1 cerca (35.0px)
29,posible_colision,Robots -1 y -1 cerca (14.6px)
29,posible_colision,Robots -1 y 3 cerca (32.1px)
29,posible_colision,Robots -1 y -1 cerca (43.7px)
29,posible_colision,Robots -1 y 3 cerca (34.7px)
31,posible_colision,Robots -1 y -1 cerca (27.9px)
32,posible_colision,Robots -1 y 3 cerca (42.6px)
32,posible_colision,Robots -1 y -1 cerca (33.8px)
33,posible_colision,Robots -1 y -1 cerca (33.2px)
33,posible_colision,Robots -1 y -1 cerca (15.6px)
33,posible_colision,Robots -1 y -1 cerca (31.5px)
33,posible_colision,Robots -1 y 3 cerca (14.1px)
33,posible_colision,Robots -1 y -1 cerca (16.6px)
34,posible_colision,Robots -1 y -1 cerca (39.3px)
34,posible_colision,Robots -1 y 3 cerca (11.9px)
35,posible_colision,Robots -1 y -1 cerca (18.5px)
35,posible_colision,Robots -1 y -1 cerca (12.9px)
36,posible_colision,Robots -1 y -1 cerca (17.2px)
36,posible_colision,Robots -1 y -1 cerca (34.7px)
36,posible_colision,Robots -1 y 3 cerca (22.2px)
36,posible_colision,Robots -1 y 0 cerca (36.5px)
37,posible_colision,Robots -1 y -1 cerca (13.2px)
37,posible_colision,Robots -1 y -1 cerca (18.7px)
37,posible_colision,Robots -1 y -1 cerca (24.4px)
37,posible_colision,Robots -1 y 3 cerca (39.9px)
38,posible_colision,Robots -1 y -1 cerca (39.0px)
38,posible_colision,Robots -1 y 3 cerca (12.8px)
38,posible_colision,Robots -1 y -1 cerca (11.1px)
38,posible_colision,Robots -1 y -1 cerca (16.6px)
38,posible_colision,Robots -1 y -1 cerca (34.9px)
38,posible_colision,Robots -1 y -1 cerca (25.9px)
38,posible_colision,Robots -1 y -1 cerca (41.6px)
38,posible_colision,Robots -1 y -1 cerca (19.8px)
39,posible_colision,Robots -1 y 3 cerca (15.6px)
39,posible_colision,Robots -1 y -1 cerca (33.4px)
40,posible_colision,Robots -1 y -1 cerca (43.9px)
40,posible_colision,Robots -1 y -1 cerca (9.9px)
40,posible_colision,Robots -1 y 3 cerca (19.4px)
41,posible_colision,Robots -1 y -1 cerca (33.9px)
41,posible_colision,Robots -1 y -1 cerca (10.9px)
41,posible_colision,Robots -1 y -1 cerca (44.6px)
41,posible_colision,Robots -1 y -1 cerca (30.2px)
41,posible_colision,Robots -1 y -1 cerca (27.9px)
41,posible_colision,Robots -1 y -1 cerca (27.7px)
41,posible_colision,Robots -1 y 3 cerca (9.4px)
41,posible_colision,Robots -1 y 3 cerca (24.6px)
43,posible_colision,Robots -1 y 3 cerca (17.9px)
