frame,tracker_id,class_id,class_name,x_center,y_center,width,height,confidence,color,color_score,team,vx,vy,speed,direction,direction_change,x_map,y_map
0,-1,0,robot,438.0786743164063,1111.723388671875,282.7250671386719,330.2799072265625,0.9564744830131532,orange,0.1336234687298517,ball,0.0,0.0,0.0,0.0,0.0,503.67493,460.2665
0,-1,0,robot,829.8822631835938,569.1840209960938,93.0626220703125,139.12057495117188,0.9304865598678588,orange,0.08517057321884428,ball,391.80358886718744,-542.5393676757812,669.2226966617649,-0.9453481110026476,0.9453481110026476,150.0062,79.470474
0,-1,0,robot,1213.648193359375,665.8585815429688,144.0166015625,201.0111083984375,0.9135820269584656,orange,0.15758015478164733,ball,383.76593017578125,96.674560546875,395.7553029595611,0.24677570919050157,1.1921238201931492,655.4765,23.228498
0,-1,0,robot,149.58192443847656,799.1964721679688,184.18212890625,200.2152099609375,0.8739579916000366,unknown,0.00572972972972973,unknown,-1064.0662689208984,133.337890625,1072.387997756207,3.016932674513481,2.7701569653229794,72.48145,462.6716
0,-1,1,ball,724.1344604492188,790.9140625,22.791748046875,25.57763671875,0.8870062828063965,orange,0.8060200668896321,ball,574.5525360107422,-8.28240966796875,574.6122300702303,-0.014414410370566384,3.031347084884047,406.3085,301.98047
1,0,0,robot,433.9680786132813,1111.6180419921875,282.8272399902344,329.6039428710937,0.9603641629219056,orange,0.1408846924917545,ball,0.0,0.0,0.0,0.0,0.0,501.86612,460.98624
1,1,0,robot,829.9095458984375,568.8162841796875,93.42645263671876,139.3934326171875,0.9291394948959352,orange,0.08465045592705167,ball,0.0,0.0,0.0,0.0,0.0,149.19458,78.9651
1,2,0,robot,1213.6279296875,665.11962890625,144.00732421875,202.0963134765625,0.9266391396522522,orange,0.1663916391639164,ball,0.0,0.0,0.0,0.0,0.0,654.8118,22.301937
1,3,0,robot,146.59713745117188,801.5186767578125,187.39134216308597,201.9488525390625,0.9057093262672424,unknown,0.004788889775720328,unknown,0.0,0.0,0.0,0.0,0.0,74.17995,463.94913
1,4,1,ball,723.8978271484375,790.8075561523438,22.81903076171875,25.817626953125,0.8873057961463928,orange,0.7859531772575251,ball,0.0,0.0,0.0,0.0,0.0,406.04495,301.99747
2,0,0,robot,430.7234802246094,1111.6068115234375,279.28485107421875,331.968505859375,0.9551104307174684,orange,0.1537008248045947,ball,-3.244598388671932,-0.01123046875,3.244617824521224,-3.1381313857975246,3.1381313857975246,500.4806,461.56552
2,1,0,robot,829.700439453125,568.9767456054688,93.63604736328124,137.14901733398438,0.9260099530220032,orange,0.08487511563367253,ball,-0.2091064453125,0.16046142578125,0.26357802380885464,2.4870688797513614,2.4870688797513614,149.3588,79.28586
2,2,0,robot,1213.9248046875,665.0322875976562,142.83984375,202.6522216796875,0.9315643310546876,orange,0.15548737972388788,ball,0.296875,-0.08734130859375,0.3094564101967653,-0.2861293554110488,0.2861293554110488,655.0055,22.05906
2,3,0,robot,144.4727020263672,805.469482421875,182.29510498046875,202.7666015625,0.9300647974014282,unknown,0.003930119249508735,unknown,-2.1244354248046875,3.9508056640625,4.485765405073409,2.0641642660107267,2.0641642660107267,78.6727,465.35614
2,4,1,ball,723.7332763671875,791.0343627929688,23.1329345703125,25.4866943359375,0.8840729594230652,orange,0.7692307692307693,ball,-0.16455078125,0.226806640625,0.2802110130626262,2.198439580603636,2.198439580603636,406.1755,302.1589
3,0,0,robot,425.812744140625,1111.5908203125,279.00927734375,331.956298828125,0.9474748373031616,orange,0.16014596018482533,ball,-4.910736083984375,-0.0159912109375,4.910762120625824,-3.1383362875092704,0.0002049017117458085,498.38544,462.44186
